base_model,compression_type,compression_method,quantization_bits,compression_ratio,pruning_structure,active_parameters,group_body_type_regardv3_score,group_nationality_regardv3_score,group_age_regardv3_score,group_characteristics_regardv3_score,group_race_ethnicity_regardv3_score,group_socioeconomic_class_regardv3_score,group_religion_regardv3_score,group_gender_and_sex_regardv3_score,group_ability_regardv3_score,group_political_ideologies_regardv3_score,group_cultural_regardv3_score,group_sexual_orientation_regardv3_score,group_nonce_regardv3_score,group_null_regardv3_score,mean_regardv3_score_likelihood,mean_regardv3_score_ratio,group_body_type_openai_toxicity,group_nationality_openai_toxicity,group_age_openai_toxicity,group_characteristics_openai_toxicity,group_race_ethnicity_openai_toxicity,group_socioeconomic_class_openai_toxicity,group_religion_openai_toxicity,group_gender_and_sex_openai_toxicity,group_ability_openai_toxicity,group_political_ideologies_openai_toxicity,group_cultural_openai_toxicity,group_sexual_orientation_openai_toxicity,group_nonce_openai_toxicity,group_null_openai_toxicity,mean_openai_toxicity_likelihood,mean_openai_toxicity_ratio
llama2_13b,pruning,wanda,none,0.3,unstructured,8.485377789,0.2258064516,0.2150837989,0.1579943236,0.281779661,0.1896207585,0.1918735892,0.1942336874,0.3907734057,0.3364839319,0.30523918,0.2258953168,0.4505119454,0.07627118644,0.125,0.2528,0.2528,0.001384549133,0.001030290039,0.000735663964,0.001945526962,0.002567306883,0.001960222263,0.004187430505,0.00446483827,0.003641068053,0.001258173952,0.004225084069,0.008016302168,0.001853565494,0.00031698192,0.002413639529,0
llama2_13b,pruning,wanda,none,0.4,unstructured,7.273180962,0.2199055862,0.1508379888,0.156102176,0.2782485876,0.1796407186,0.2009029345,0.2109256449,0.3622795115,0.354442344,0.3143507973,0.2534435262,0.4061433447,0.1440677966,0.1875,0.2501,0.2501,0.001655546961,0.0009699076447,0.0004963702848,0.002285159649,0.002158726226,0.002367959451,0.004874756581,0.004495525084,0.003245289339,0.001632975078,0.002937963048,0.00820483153,0.001609390515,0.0001251622523,0.00247850703,0.0001
llama2_13b,pruning,wanda,none,0.5,unstructured,6.060984135,0.1915814319,0.1452513966,0.128666036,0.2556497175,0.1756487026,0.1557562077,0.1927162367,0.3107191316,0.3610586011,0.3029612756,0.2203856749,0.3788395904,0.1271186441,0.1875,0.2274,0.2274,0.001720480125,0.001570833837,0.0005128197736,0.001839165653,0.002845128749,0.001946699761,0.003019119389,0.004137145637,0.003693069153,0.001910650705,0.003418817438,0.007905654427,0.003939109613,0.0003037172425,0.002418170628,0
llama2_13b,pruning,wanda,none,0.6,unstructured,4.848787308,0.1455546814,0.06703910615,0.08230842006,0.2033898305,0.08582834331,0.07900677201,0.1487101669,0.2320217096,0.3449905482,0.2551252847,0.1900826446,0.3924914676,0.1271186441,0,0.1792,0.1792,0.001773450298,0.0008575376129,0.0005981234143,0.001825346984,0.001758559137,0.001074853644,0.002732670012,0.003404382362,0.003179641255,0.001920601353,0.002268850645,0.005127253178,0.002768595694,0.0002008257828,0.002056206444,0
llama2_13b,pruning,wanda,none,0.5,semistructured:24,6.060984135,0.1490952006,0.06703910615,0.07663197729,0.186440678,0.06786427146,0.1128668172,0.1380880121,0.2143826323,0.3223062382,0.291571754,0.1652892562,0.3174061433,0.08474576271,0.0625,0.1714,0.1714,0.002001541703,0.001551406037,0.0005807338602,0.00182211298,0.002115539413,0.001959741756,0.003917601741,0.003594854491,0.003835283024,0.003223336643,0.003089671873,0.006936980734,0.002004086646,0.0003820081891,0.002486791404,0
llama2_13b,pruning,wanda,none,0.5,semistructured:48,6.060984135,0.1904012589,0.1787709497,0.1116367077,0.2634180791,0.1556886228,0.2167042889,0.2245827011,0.3039348711,0.3884688091,0.3166287016,0.258953168,0.4061433447,0.1355932203,0.0625,0.2365,0.2365,0.002109150893,0.002188020798,0.0005598416078,0.002075389907,0.004018851445,0.002279217002,0.005841561107,0.003689967653,0.003562733359,0.002269421066,0.003840046161,0.008189968525,0.001921223538,0.0003273934339,0.002805539427,0
llama2_7b,none,none,none,0,unstructured,6.27563858,0.2875688434,0.2681564246,0.2781456954,0.3601694915,0.255489022,0.2844243792,0.277693475,0.3907734057,0.3601134216,0.410022779,0.3085399449,0.4197952218,0.2627118644,0.125,0.3185,0.3185,0.001799164513,0.002023411715,0.0006131514995,0.002840377269,0.003309603256,0.002396742809,0.003445536386,0.003498484492,0.001576826938,0.003602736897,0.003725000146,0.004941898448,0.002832945697,0.0004577317388,0.002392843978,0.0004
llama2_7b,quantization,awq,4,0,unstructured,6.27563858,0.1632572777,0.1480446927,0.1182592242,0.2365819209,0.1317365269,0.144469526,0.1426403642,0.2727272727,0.2674858223,0.298405467,0.1597796143,0.3344709898,0.07627118644,0.125,0.1934,0.1934,0.001364034414,0.00147861765,0.0008231882003,0.002560804742,0.001825854668,0.002104462303,0.003923039092,0.003279992205,0.00268532222,0.001480591559,0.004091387342,0.007755506467,0.001096380279,0.0001391805214,0.002272278441,0.0001
llama2_7b,quantization,bitsandbytes,8,0,unstructured,6.27563858,0.1730920535,0.1620111732,0.1532639546,0.2542372881,0.1457085828,0.1399548533,0.1745068285,0.3052917232,0.297731569,0.3234624146,0.1818181818,0.3549488055,0.1016949153,0.3125,0.2139,0.2139,0.001755325262,0.001235622477,0.0004813488247,0.00238287046,0.002811273377,0.0027458195,0.002192542374,0.005514731649,0.002983353902,0.002515627624,0.00209928698,0.005204689853,0.001473483602,0.001125948511,0.002366105909,0
llama2_7b,pruning,gblm,none,0.1,unstructured,5.648074722,0.2981904013,0.2569832402,0.2421948912,0.3502824859,0.2435129741,0.2595936795,0.2837632777,0.420624152,0.3497164461,0.3963553531,0.3443526171,0.4061433447,0.2711864407,0.3125,0.3161,0.3161,0.001080785886,0.002044517904,0.0004439361845,0.001565486978,0.003405829479,0.001894615606,0.003509532077,0.003632142701,0.002951353938,0.002959337148,0.003005245148,0.004366340748,0.0005133512493,0.009026769608,0.002069749839,0.0003
llama2_7b,pruning,gblm,none,0.2,unstructured,5.020510864,0.3021243116,0.2318435754,0.2857142857,0.3573446328,0.2435129741,0.3002257336,0.2655538695,0.4002713704,0.3780718336,0.4191343964,0.2727272727,0.4505119454,0.2203389831,0.125,0.3227,0.3227,0.001390923258,0.001739294332,0.0007946960702,0.001546323603,0.00428661456,0.003928424154,0.004283400731,0.003927066321,0.00149665779,0.004224271904,0.003139221653,0.003187741412,0.001346725623,0.0004165871748,0.002246992104,0.0003
llama2_7b,pruning,gblm,none,0.3,unstructured,4.392947006,0.2915027537,0.2793296089,0.3112582781,0.3622881356,0.251497006,0.3115124153,0.2625189681,0.4369063772,0.3998109641,0.3963553531,0.3002754821,0.4368600683,0.2966101695,0.375,0.3317,0.3317,0.001840153934,0.000727761029,0.0005967088407,0.001174720035,0.002477596619,0.001417113101,0.004367621702,0.003656613207,0.001155324637,0.002308077534,0.003161418468,0.002216567598,0.001554098668,0.0005949658204,0.001890011002,0.0001
llama2_7b,pruning,gblm,none,0.4,unstructured,3.765383148,0.2726199843,0.2039106145,0.2469252602,0.3283898305,0.2355289421,0.2979683973,0.2503793627,0.381275441,0.3468809074,0.4054669704,0.305785124,0.4232081911,0.2203389831,0.1875,0.2997,0.2997,0.001673038444,0.004643202468,0.0005742603731,0.0009553304212,0.001959051977,0.001651627568,0.002276942342,0.002063294112,0.001608592873,0.004338019267,0.00392448355,0.001732333399,0.0009763748062,0.0001116726111,0.001826462204,0.0002
llama2_7b,pruning,gblm,none,0.5,unstructured,3.13781929,0.2442958301,0.2011173184,0.2346263009,0.3403954802,0.2135728543,0.2550790068,0.2352048558,0.3364993216,0.3506616257,0.3485193622,0.2865013774,0.4197952218,0.1525423729,0.125,0.2817,0.2817,0.001242882469,0.001197067575,0.0005528962588,0.001292662381,0.002168113603,0.001175451864,0.00282716923,0.002383140179,0.001664567635,0.002388257428,0.00371992991,0.003044751485,0.000466386428,0.00016196415,0.001633883697,0.0001
